"filename", "language", "Python", "Django Template", "CSS", "JavaScript", "Database", "JSON", "SCSS", "XML", "comment", "blank", "total"
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap.rtl.css", "CSS", 0, 0, 11141, 0, 0, 0, 0, 0, 6, 885, 12032
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 5061, 0, 0, 0, 0, 655, 599, 6315
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 3565, 0, 0, 0, 0, 578, 305, 4448
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 0, 3601, 0, 0, 0, 0, 584, 310, 4495
"d:\CS\Python\Xentiment\static\home\assets\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\all.css", "CSS", 0, 0, 5431, 0, 0, 0, 0, 0, 7, 2533, 7971
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\all.min.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 5, 1, 9
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\brands.css", "CSS", 0, 0, 1024, 0, 0, 0, 0, 0, 5, 509, 1538
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\brands.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\fontawesome.css", "CSS", 0, 0, 4350, 0, 0, 0, 0, 0, 7, 2016, 6373
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\fontawesome.min.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 5, 1, 9
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\regular.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 5, 3, 20
"d:\CS\Python\Xentiment\static\home\assets\vendor\fontawesome-free\css\regular.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
